well_id,contact_id,well_name,longitude,latitude,apn,county,subbasin_num,subbasin,status,de_minimis,pws,has_wcr,gw_recordation,max_prod_gpm,year_pumping,total_depth_ft,screen_top_ft,screen_bottom_ft,casing_in,purpose,purpose_all,irr_acreage,irr_method,pou_count,pou_apns,method,ext_total_af,ext_flag,ext_tule_wy2025,ext_tl_partial2025,ext_tl_partial2024,ext_monthly,owner_total_af,owner_num_wells
53779,39016,"Terra bella (#1, near house)",-119.004591,35.967731,304020007,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,948,2019,,,,,Irrigated Agriculture,Irrigated Agriculture,,,2,304020005; 304020007,ET,33.6,,33.6,,,0.0|0.0|0.0|0.0|0.0|0.0|1.9|2.1|2.1|3.0|4.2|4.1|3.8|3.1|3.4|2.7|1.7|1.4,1373.1,8
53780,39016,"Terra bella (#3, near horses)",-119.009088,35.967608,304020007,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,235,2016,,,,,Irrigated Agriculture,Irrigated Agriculture,,,2,304020005; 304020007,ET,33.6,,33.6,,,0.0|0.0|0.0|0.0|0.0|0.0|1.9|2.1|2.1|3.0|4.2|4.1|3.8|3.1|3.4|2.7|1.7|1.4,1373.1,8
53781,39477,destroyed well ,-119.029390,36.025688,269090034,Tulare,5-022.13,Tule,Destroyed,FALSE,FALSE,FALSE,FALSE,,,,,,,Irrigated Agriculture,Irrigated Agriculture,,,1,269090034,Not reported,,,,,,,,
53782,39477,inactive well ,-119.032550,36.026521,269090029,Tulare,5-022.13,Tule,Inactive,FALSE,FALSE,FALSE,FALSE,,,,,,,Irrigated Agriculture,Irrigated Agriculture,,,1,269090029,Not reported,,,,,,,,
53783,39477,observation well ,-119.034165,36.026286,269090028,Tulare,5-022.13,Tule,Observation,FALSE,FALSE,FALSE,FALSE,,,,,,,Industrial,Mining,,,1,269090028,Not reported,,,,,,,,
53784,39477,orchard well ,-119.035910,36.027048,268130010,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,0,1993,,,,,Irrigated Agriculture,Irrigated Agriculture,,,1,268130011,Certified Meter,71.0,,71.0,,,0.0|0.0|0.0|0.0|0.0|0.0|6.0|6.0|6.0|6.0|6.0|6.0|6.0|6.0|6.0|5.0|6.0|6.0,,
53785,38661,Well-SP-304180010-06107-202502062047044529,-119.010000,35.980000,304180010,Tulare,5-022.13,Tule,Active,TRUE,FALSE,FALSE,FALSE,,2023,,,,,Other,Other,,,1,304180010,Not reported,,,,,,,,
53787,38303,Goldsmith - S. Pump (22713),-119.179245,36.000689,300170004,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,190,1992,,,,,Irrigated Agriculture,Irrigated Agriculture,320.0,Drip/Micro,3,300170004; 300170007; 300170018,Certified Meter,75.0,,75.0,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|17.5|17.9|9.9|15.3|7.1|7.2|0.0|0.0,8557.8,131
53788,38303,Goldsmith - Middle Pump (41945),-119.179323,36.004235,300170004,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,543,2015,,,,,Irrigated Agriculture,Irrigated Agriculture,320.0,Drip/Micro,3,300170004; 300170007; 300170018,Certified Meter,433.1,,433.1,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|180.7|142.5|32.6|44.8|28.5|2.6|1.3,8557.8,131
53789,38303,Goldsmith - N.E Pump (27442),-119.179409,36.007780,300170004,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,341,1992,,,,,Irrigated Agriculture,Irrigated Agriculture,320.0,Drip/Micro,3,300170004; 300170007; 300170018,Certified Meter,86.6,,86.6,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|26.3|20.3|9.6|16.7|5.1|8.7|0.0|0.0,8557.8,131
53790,38303,Goldsmith - N.W Pump (43581),-119.188124,36.007684,300170004,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,392,2013,,,,,Irrigated Agriculture,Irrigated Agriculture,320.0,Drip/Micro,3,300170004; 300170007; 300170018,Certified Meter,64.4,,64.4,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|15.0|13.7|6.9|15.0|5.9|7.8|0.0|0.0,8557.8,131
53791,38303,Shipe - Middle Pump (25259),-119.188272,36.004247,300170018,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,222,1992,,,,,Irrigated Agriculture,Irrigated Agriculture,308.0,Drip/Micro,3,300170004; 300170007; 300170018,Certified Meter,88.0,,88.0,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|28.1|23.7|6.7|16.2|5.8|7.5|0.0|0.0,8557.8,131
53792,38303,Miller - #1 (28356),-119.188264,36.000570,300170007,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,331,1992,,,,,Irrigated Agriculture,Irrigated Agriculture,320.0,Drip/Micro,3,300170004; 300170007; 300170018,Certified Meter,46.4,,46.4,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|11.3|11.8|5.0|9.2|6.2|2.9|0.0|0.0,8557.8,131
53794,38303,Miller - #2 (28355),-119.188201,35.993509,300170007,Tulare,5-022.13,Tule,Inactive,FALSE,FALSE,FALSE,FALSE,385,1992,,,,,Irrigated Agriculture,Irrigated Agriculture,320.0,Drip/Micro,3,300170004; 300170007; 300170018,Certified Meter,,,,,,,8557.8,131
53795,38303,Sheep Ranch - #2 (29851),-119.197423,35.993309,300180003,Tulare,5-022.13,Tule,Inactive,FALSE,FALSE,FALSE,FALSE,574,2015,,,,,Irrigated Agriculture,Irrigated Agriculture,160.0,Drip/Micro,5,300170008; 300170009; 300180001; 300180002; 300180003,Certified Meter,,,,,,,8557.8,131
53796,38303,Upper Cooper - #2 (27339),-119.197431,35.996989,300170008,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,403,1992,,,,,Irrigated Agriculture,Irrigated Agriculture,320.0,Drip/Micro,7,300170007; 300170008; 300170009; 300170012; 300170013; 300170016; 300170018,Certified Meter,176.1,,176.1,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|14.7|25.4|21.5|32.0|26.6|36.9|19.0|0.0|0.0,8557.8,131
53797,38303,Upper Cooper - #1 (39392),-119.197422,36.000512,300170008,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,735,1994,,,,,Irrigated Agriculture,Irrigated Agriculture,320.0,Drip/Micro,7,300170007; 300170008; 300170009; 300170012; 300170013; 300170016; 300170018,Certified Meter,167.9,,167.9,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|22.1|30.3|25.1|16.3|18.7|40.2|14.0|1.1|0.0,8557.8,131
53799,38303,Vierra - #2 (47359),-119.197399,36.006042,300170013,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,1486,2015,,,,,Irrigated Agriculture,Irrigated Agriculture,232.0,Drip/Micro,5,300170008; 300170009; 300170012; 300170013; 300170016,Certified Meter,297.8,,297.8,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|8.3|43.5|100.1|42.6|79.7|23.6|0.0|0.0|0.0,8557.8,131
53800,38303,Vierra - #3 (30778),-119.197391,36.007739,300170013,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,100,1992,,,,,Irrigated Agriculture,Irrigated Agriculture,232.0,Drip/Micro,5,300170008; 300170009; 300170012; 300170013; 300170016,Certified Meter,32.5,,32.5,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.7|27.9|0.0|0.0|2.8|0.5|0.6|0.0,8557.8,131
53801,38303,Vierra - #1 (27573),-119.206160,36.004257,300170016,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,660,1992,,,,,Irrigated Agriculture,Irrigated Agriculture,298.0,Drip/Micro,5,300170008; 300170009; 300170012; 300170013; 300170016,Certified Meter,62.4,,62.4,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|2.6|10.2|6.5|25.2|11.0|5.2|1.6|0.0,8557.8,131
53802,38303,Upper Cooper #3 (27354),-119.206151,35.997040,300170009,Tulare,5-022.13,Tule,Active,FALSE,FALSE,FALSE,FALSE,367,1992,,,,,Irrigated Agriculture,Irrigated Agriculture,316.0,Drip/Micro,8,300170008; 300170009; 300170012; 300170013; 300170016; 300180001; 300180002; 300180003,Certified Meter,63.0,,63.0,,,0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|16.4|17.5|7.9|12.3|4.9|3.6|0.5|0.0,8557.8,131
